,Date,State,District,Confirmed,Recovered,Deceased,Tested
130608,2021-02-11,Manipur,Unknown,29155,28729,373,530329.0
130609,2021-02-11,Madhya Pradesh,Anuppur,2105,2077,15,3424.0
130610,2021-02-11,Madhya Pradesh,Ashoknagar,1135,1117,17,55792.0
130611,2021-02-11,Madhya Pradesh,Balaghat,3185,3160,14,9654.0
130612,2021-02-11,Madhya Pradesh,Barwani,2928,2874,30,41588.0
130613,2021-02-11,Madhya Pradesh,Betul,3632,3514,75,68036.0
130614,2021-02-11,Madhya Pradesh,Bhind,1506,1491,10,44395.0
130615,2021-02-11,Madhya Pradesh,Bhopal,43140,41913,617,245166.0
130616,2021-02-11,Madhya Pradesh,Burhanpur,874,845,27,13040.0
130617,2021-02-11,Madhya Pradesh,Chhatarpur,2109,2073,32,50518.0
130618,2021-02-11,Madhya Pradesh,Chhindwara,2886,2804,46,79090.0
130619,2021-02-11,Madhya Pradesh,Damoh,2790,2650,91,16564.0
130620,2021-02-11,Madhya Pradesh,Datia,1908,1879,20,40322.0
130621,2021-02-11,Madhya Pradesh,Dewas,2965,2932,27,96155.0
130622,2021-02-11,Madhya Pradesh,Dhar,4139,4067,58,62597.0
130623,2021-02-11,Madhya Pradesh,Dindori,1014,999,1,3557.0
130624,2021-02-11,Madhya Pradesh,Guna,1556,1525,26,40229.0
130625,2021-02-11,Madhya Pradesh,Gwalior,16467,16195,228,206696.0
130626,2021-02-11,Madhya Pradesh,Harda,2141,2095,36,36708.0
130627,2021-02-11,Madhya Pradesh,Hoshangabad,3867,3792,61,46294.0
130628,2021-02-11,Madhya Pradesh,Indore,57842,56610,924,780266.0
130629,2021-02-11,Madhya Pradesh,Jabalpur,16416,15987,251,293923.0
130630,2021-02-11,Madhya Pradesh,Jhabua,2545,2490,27,52146.0
130631,2021-02-11,Madhya Pradesh,Katni,2267,2241,17,56828.0
130632,2021-02-11,Madhya Pradesh,Khandwa,2348,2282,63,17090.0
130633,2021-02-11,Madhya Pradesh,Khargone,5446,5295,107,38413.0
130634,2021-02-11,Madhya Pradesh,Mandsaur,2836,2792,35,52733.0
130635,2021-02-11,Madhya Pradesh,Morena,3235,3203,29,90967.0
130636,2021-02-11,Madhya Pradesh,Narsinghpur,3524,3486,30,90600.0
130637,2021-02-11,Madhya Pradesh,Neemuch,3042,2994,37,57292.0
130638,2021-02-11,Madhya Pradesh,Niwari,685,678,2,22574.0
130639,2021-02-11,Madhya Pradesh,Raisen,2478,2423,46,44343.0
130640,2021-02-11,Madhya Pradesh,Rajgarh,2441,2326,66,46604.0
130641,2021-02-11,Madhya Pradesh,Ratlam,4741,4597,82,51736.0
130642,2021-02-11,Madhya Pradesh,Rewa,4126,4077,35,22690.0
130643,2021-02-11,Madhya Pradesh,Sagar,5457,5253,150,64801.0
130644,2021-02-11,Madhya Pradesh,Satna,3480,3435,42,28159.0
130645,2021-02-11,Madhya Pradesh,Sehore,2808,2749,48,45061.0
130646,2021-02-11,Madhya Pradesh,Seoni,1589,1574,10,15024.0
130647,2021-02-11,Madhya Pradesh,Shahdol,2988,2929,30,18177.0
130648,2021-02-11,Madhya Pradesh,Shajapur,1798,1766,22,56805.0
130649,2021-02-11,Madhya Pradesh,Sheopur,1503,1467,15,31449.0
130650,2021-02-11,Madhya Pradesh,Shivpuri,3647,3612,30,47270.0
130651,2021-02-11,Madhya Pradesh,Sidhi,2030,1994,13,4660.0
130652,2021-02-11,Madhya Pradesh,Tikamgarh,1312,1278,27,43011.0
130653,2021-02-11,Madhya Pradesh,Ujjain,4984,4836,104,31631.0
130654,2021-02-11,Madhya Pradesh,Umaria,1316,1290,18,54811.0
130655,2021-02-11,Madhya Pradesh,Vidisha,3604,3525,71,65935.0
130656,2021-02-11,Nagaland,Dimapur,6476,6328,59,47020.0
130657,2021-02-11,Nagaland,Kiphire,41,40,1,1002.0
130658,2021-02-11,Nagaland,Kohima,3859,3722,21,33986.0
130659,2021-02-11,Nagaland,Longleng,19,10,0,1193.0
130660,2021-02-11,Nagaland,Mokokchung,192,183,3,3976.0
130661,2021-02-11,Nagaland,Mon,605,594,2,12278.0
130662,2021-02-11,Nagaland,Peren,507,504,0,5717.0
130663,2021-02-11,Nagaland,Phek,47,47,0,2779.0
130664,2021-02-11,Nagaland,Tuensang,248,246,1,4887.0
130665,2021-02-11,Nagaland,Wokha,39,35,1,1390.0
130666,2021-02-11,Nagaland,Zunheboto,142,139,0,2131.0
130667,2021-02-11,Odisha,Angul,11408,11333,37,172873.0
130668,2021-02-11,Odisha,Balangir,8798,8742,41,87867.0
130669,2021-02-11,Odisha,Balasore,12324,12191,101,9843.0
130670,2021-02-11,Odisha,Bhadrak,7485,7442,29,258173.0
130671,2021-02-11,Odisha,Boudh,2812,2794,11,496.0
130672,2021-02-11,Odisha,Cuttack,29110,28889,146,5720.0
130673,2021-02-11,Odisha,Deogarh,1341,1323,5,682.0
130674,2021-02-11,Odisha,Dhenkanal,5711,5679,29,179477.0
130675,2021-02-11,Odisha,Gajapati,4072,4033,33,715.0
130676,2021-02-11,Odisha,Ganjam,21888,21626,256,750442.0
130677,2021-02-11,Odisha,Jagatsinghpur,9158,9116,38,46648.0
130678,2021-02-11,Odisha,Jajpur,12237,12187,26,53956.0
130679,2021-02-11,Odisha,Jharsuguda,7814,7757,26,1663.0
130680,2021-02-11,Odisha,Kalahandi,6377,6330,32,1458.0
130681,2021-02-11,Odisha,Kandhamal,5947,5911,33,1516.0
130682,2021-02-11,Odisha,Kendrapara,9145,9113,29,382732.0
130683,2021-02-11,Odisha,Kendujhar,8014,7957,37,474504.0
130684,2021-02-11,Odisha,Koraput,7884,7865,16,1401.0
130685,2021-02-11,Odisha,Malkangiri,5240,5212,28,1841.0
130686,2021-02-11,Odisha,Mayurbhanj,14132,14001,92,3307.0
130687,2021-02-11,Odisha,Nabarangapur,5826,5810,16,162154.0
130688,2021-02-11,Odisha,Nayagarh,6480,6433,47,1104.0
130689,2021-02-11,Odisha,Nuapada,7598,7557,27,310.0
130690,2021-02-11,Odisha,Puri,14398,14222,120,173340.0
130691,2021-02-11,Odisha,Rayagada,8434,8374,45,578.0
130692,2021-02-11,Odisha,Sambalpur,9912,9788,77,2007.0
130693,2021-02-11,Punjab,Amritsar,15182,14435,585,89227.0
130694,2021-02-11,Punjab,Barnala,2347,2234,67,63447.0
130695,2021-02-11,Punjab,Bathinda,9598,9300,226,118489.0
130696,2021-02-11,Punjab,Faridkot,4071,3959,82,23635.0
130697,2021-02-11,Punjab,Fatehgarh Sahib,2655,2491,113,68436.0
130698,2021-02-11,Punjab,Fazilka,3920,3836,72,63589.0
130699,2021-02-11,Punjab,Ferozepur,4594,4433,148,74880.0
130700,2021-02-11,Punjab,Gurdaspur,8263,7908,278,249039.0
130701,2021-02-11,Punjab,Hoshiarpur,8192,7747,345,221261.0
130702,2021-02-11,Punjab,Jalandhar,20905,20016,687,443735.0
130703,2021-02-11,Punjab,Kapurthala,5076,4765,204,38658.0
130704,2021-02-11,Punjab,Ludhiana,26214,24872,1009,514691.0
130705,2021-02-11,Punjab,Mansa,2483,2418,53,26878.0
130706,2021-02-11,Punjab,Moga,2819,2702,95,77307.0
130707,2021-02-11,Punjab,Pathankot,5868,5689,163,29112.0
130708,2021-02-11,Punjab,Patiala,16546,15914,503,273344.0
130709,2021-02-11,Punjab,Rupnagar,3577,3335,173,97745.0
130710,2021-02-11,Punjab,S.A.S. Nagar,19724,18951,376,41532.0
130711,2021-02-11,Punjab,Sangrur,4485,4245,207,166332.0
