country (nominal),tests (discrete data),population (discrete data),Population density (per sq km) (continuous data),Median age (continuous data),%urban pop. (continuous data),Global Freedom Scores,Human Freedom Index,strigency index,containment_index,most recent arrivals 2018 or 2019 (discrete data) ,Gini (discrete data),% always or frequently wearing facemask outside  (continuous data),Vaccine acceptance (%) general public (continuous data),Rule of Law Index  (continuous data),Number of days in Lockdown (discrete data),Actual cases,C1_School closing,C1_Flag,C2_Workplace closing,C2_Flag,C3_Cancel public events,C3_Flag,C4_Restrictions on gatherings,C4_Flag,C5_Close public transport,C5_Flag,C6_Stay at home requirements,C6_Flag,C7_Restrictions on internal movement,C7_Flag,C8_International travel controls,E1_Income support,E1_Flag,E2_Debt/contract relief,E3_Fiscal measures,E4_International support,H1_Public information campaigns,H1_Flag,H2_Testing policy,H3_Contact tracing,H4_Emergency investment in healthcare,H5_Investment in vaccines,H6_Facial Coverings,H6_Flag,H7_Vaccination policy,H7_Flag,H8_Protection of elderly people,H8_Flag,M1_Wildcard,StringencyIndex,StringencyLegacyIndex,GovernmentResponseIndex,ContainmentHealthIndex,EconomicSupportIndex
Ireland,"3,720,861","4,976,339",74,38.246,63,97,8.13,87.96,82.56,"10,951,000",0.796,,,,193,"225,741",3,1,3,1,2,1,4,1,1,1,2,1,2,1,3,2,1,2,0,0,2,1,2,2,0,0,3,1,2,1,3,1,,87.96,91.67,85.83,83.81,100
Italy ,"44,623,304","60,399,338",207,47.288,71,90,7.51,78.7,77.12,"95,399,000",0.669,97,77.3,,318,"3,223,142",2,0,2,1,2,1,4,1,1,1,2,1,2,1,3,1,1,2,0,0,2,1,2,2,0,0,4,0,2,1,3,1,,78.7,80.95,78.28,78.75,75
Latvia,"1,670,193","1,871,486",29,43.941,68,89,7.89,60.19,55.38,"8,342,000",0.789,,,,45,"93,959",2,1,2,1,2,1,4,1,0,,0,,0,,3,2,1,2,0,0,2,1,2,1,0,0,3,1,1,1,0,,,56.48,60.71,57.5,51.43,100
Lithuania,"2,218,746","2,695,463",42,45.051,68,90,8.10,66.67,63.97,"6,150,000",0.663,,,,117,"205,644",2,1,2,1,2,1,4,1,0,,2,1,2,1,2,1,0,2,0,0,1,1,2,1,0,0,3,1,2,1,3,1,,66.67,66.67,66.04,66.55,62.5
Luxembourg,"2,248,588","633,079",243,39.729,91,97,7.75,61.11,64.62,"1,041,000",0.67,,,,217,"57,877",2,1,2,1,1,1,3,1,1,1,2,1,0,,3,1,0,2,0,0,2,1,3,2,0,0,2,1,2,1,1,1,,61.11,78.1,62.4,62.38,62.5
Moldova,"771,763","4,027,371",99,37.597,43,61,6.99,51.85,46.79,"174,000",0.645,,,,,"204,463",1,1,2,1,1,1,4,1,0,,1,0,1,0,3,1,0,1,0,0,2,1,2,0,0,0,3,1,0,,3,1,,51.85,61.9,48.96,50.6,37.5
Netherlands,"6,970,400","17,161,479",416,43.314,92,98,7.82,78.7,70.38,"20,129,000",0.902,91.9,73,,79,"1,157,192",2,1,3,1,2,1,4,1,1,1,2,1,1,1,3,2,1,1,0,0,2,1,2,1,0,0,2,1,2,1,2,1,,78.7,84.52,70.73,70.12,75
Norway,"4,115,415","5,450,917",17,39.836,83,100,7.60,73.15,69.42,"5,879,000",0.798,52.1,,,,"80,440",2,1,3,0,2,1,4,1,1,1,1,1,1,1,3,2,0,0,0,0,2,1,2,2,0,0,2,0,2,1,2,1,,73.15,79.76,65.26,69.23,37.5
Poland,"10,668,987","37,817,481",122,41.678,60,82,7.04,71.3,65.26,"88,515,000",0.677,,56.3,,25,"1,917,527",2,1,2,1,2,1,4,1,1,1,1,1,1,1,3,2,1,1,0,0,2,1,2,1,0,0,2,1,2,1,3,1,,71.3,79.76,68.65,67.74,75
Portugal,"8,480,932","10,175,800",112,46.158,66,96,7.60,76.85,75.13,"17,174,000",0.692,,75,,118,"814,257",3,1,3,1,2,1,4,1,1,1,2,1,0,,3,1,1,2,0,0,2,1,3,1,0,0,3,1,3,1,2,1,,76.85,88.1,74.58,74.52,75
Romania,"6,774,562","19,147,305",89,43.171,54,83,7.83,76.85,78.33,"12,815,000",0.647,,,,201,"862,681",3,1,2,1,2,1,4,1,0,,2,0,2,1,3,2,0,2,0,0,2,1,2,2,0,0,4,1,3,1,1,1,,76.85,78.57,76.67,75.12,87.5
Serbia,"3,149,048","8,712,609",91,41.575,56,64,7.05,56.48,63.85,"1,847,000",0.676,,,,,"516,277",1,1,2,1,2,1,4,1,0,,1,1,1,1,1,2,0,1,0,0,2,1,2,2,0,0,3,1,4,1,2,1,,56.48,59.52,63.85,64.05,62.5
Slovak Republic,"2,200,380","5,461,499",111,41.249,54,90,7.63,71.3,75.51,"15,406,000",0.498,,,,115,"337,960",3,0,2,1,2,1,4,1,0,,2,1,2,0,2,2,0,2,0,0,2,1,3,2,0,0,4,1,2,1,3,1,,71.3,67.86,78.54,77.26,87.5
Slovenia,"976,907","2,079,139",104,44.539,55,95,7.33,72.22,73.85,"4,702,000",0.662,,,,46,"200,579",2,0,2,1,2,1,4,1,1,1,1,1,2,1,2,2,1,1,0,0,2,1,3,1,0,0,4,1,3,1,2,1,,72.22,77.38,73.54,73.33,75
Spain,"40,292,390","46,767,497",99,44.858,81,90,7.73,71.3,69.1,"126,170,000",0.694,98.2,74.5,,272,"3,183,704",1,1,2,1,2,1,4,1,0,,2,1,2,1,3,2,0,2,0,0,2,1,2,1,0,0,4,1,2,1,1,1,,71.3,71.43,69.17,66.55,87.5
Sweden,"6,627,544","10,143,382",23,41.078,88,100,7.58,69.44,62.05,"7,616,000",0.867,23.2,65.2,,,"712,527",2,0,2,1,2,1,4,1,1,1,1,1,1,1,3,2,0,0,0,0,2,1,2,1,0,0,1,1,2,1,3,0,,69.44,76.19,60.31,63.57,37.5
Switzerland,"5,387,481","8,698,941",219,43.053,74,96,8.43,60.19,63.33,"11,818,000",0.705,,,,,"570,645",2,1,2,1,2,1,4,1,0,,1,1,0,,3,2,0,0,0,0,2,1,2,2,0,0,3,1,2,1,2,1,,60.19,67.86,60.31,63.57,37.5
UK,"103,053,938","68,135,945",270,40.467,84,93,8.08,87.96,80.26,"40,857,000",0.746,80.8,79,,256,"4,258,438",3,1,3,1,2,1,4,1,1,1,2,1,2,1,3,2,1,2,0,0,2,1,2,1,0,0,3,1,3,1,3,1,,87.96,91.67,83.96,81.67,100
Ukraine,"7,328,468","43,548,757",73,41.178,69,60,6.06,54.63,57.05,"13,710,000",0.847,,,,,"1,467,548",2,1,2,1,1,1,3,1,1,1,1,1,0,,2,1,0,1,0,0,2,1,3,2,0,0,2,1,0,,2,1,,54.63,70.95,55.21,57.74,37.5
