,Date,State,District,Confirmed,Recovered,Deceased,Tested,Population
118,2021-02-11,Haryana,Sonipat,14802,14716,86,238963.0,1450001
119,2021-02-11,Haryana,Yamunanagar,6849,6667,155,196131.0,1214205
120,2021-02-11,Jharkhand,Bokaro,6708,6624,65,11798.0,2062330
121,2021-02-11,Jharkhand,Deoghar,3660,3633,23,6951.0,1492073
122,2021-02-11,Jharkhand,Dumka,1409,1377,14,5400.0,1321442
123,2021-02-11,Jharkhand,Giridih,3424,3410,14,11132.0,2445474
124,2021-02-11,Jharkhand,Godda,2108,2098,10,10980.0,1313551
125,2021-02-11,Jharkhand,Jamtara,1270,1266,4,2880.0,791042
126,2021-02-11,Jharkhand,Khunti,2137,2128,7,3852.0,531885
127,2021-02-11,Jharkhand,Lohardaga,1803,1774,10,7526.0,461790
128,2021-02-11,Jharkhand,Sahibganj,1644,1633,9,5029.0,1150567
129,2021-02-11,Jammu and Kashmir,Pulwama,5773,5635,88,139552.0,560440
130,2021-02-11,Karnataka,Bidar,7473,7239,172,67689.0,1703300
131,2021-02-11,Karnataka,Chikkaballapura,13665,13520,117,15089.0,1255104
132,2021-02-11,Karnataka,Chitradurga,14819,14595,69,4393.0,1659456
133,2021-02-11,Karnataka,Dakshina Kannada,34118,33046,738,131281.0,2089649
134,2021-02-11,Karnataka,Davanagere,22380,22075,264,17483.0,1945497
135,2021-02-11,Karnataka,Dharwad,22237,21585,614,137696.0,1847023
136,2021-02-11,Karnataka,Gadag,11000,10848,141,8904.0,1064570
137,2021-02-11,Karnataka,Hassan,28608,28117,395,10800.0,1776421
138,2021-02-11,Karnataka,Haveri,11005,10811,190,11714.0,1597668
139,2021-02-11,Karnataka,Kodagu,6103,5960,72,143982.0,554519
140,2021-02-11,Karnataka,Kolar,10041,9823,177,91924.0,1536401
141,2021-02-11,Karnataka,Koppal,13935,13651,279,8708.0,1389920
142,2021-02-11,Karnataka,Mandya,19710,19530,151,14874.0,1805769
143,2021-02-11,Karnataka,Raichur,14283,14108,158,21011.0,1928812
